Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
201900023949,2019-11-01,2019,novembre,vendredi,1900-01-01 13:45:00,38,38224,,,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900023952,2019-01-26,2019,janvier,samedi,1900-01-01 12:00:00,67,67055,,,En agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900026040,2019-10-07,2019,octobre,lundi,1900-01-01 07:50:00,67,67482,,,En agglomération,Hors intersection,Routes de métropole urbaine,A chaussées séparées,Autres,Sur chaussée,"nan, nan",Strasbourg
201900026877,2019-07-30,2019,juillet,mardi,1900-01-01 10:15:00,38,38218,,,En agglomération,Intersection en X,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900028186,2019-09-04,2019,septembre,mercredi,1900-01-01 09:00:00,38,38422,,,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900028314,2019-06-25,2019,juin,mardi,1900-01-01 21:30:00,67,67309,,,En agglomération,Autre intersection,Route Départementale,Voies d’affectation variable,Souterrain - tunnel,Sur piste cyclable,"nan, nan",Autre
201900028316,2019-06-27,2019,juin,jeudi,1900-01-01 16:45:00,67,67282,,,En agglomération,Giratoire,Route Départementale,A sens unique,Carrefour aménagé,Autres,"nan, nan",Autre
201900028317,2019-06-28,2019,juin,vendredi,1900-01-01 17:10:00,67,67348,,,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900028701,2019-07-25,2019,juillet,jeudi,1900-01-01 17:00:00,67,67482,,,En agglomération,Intersection en T,Voie Communales,A sens unique,Carrefour aménagé,Sur chaussée,"nan, nan",Strasbourg
201900030600,2019-03-04,2019,mars,lundi,1900-01-01 20:00:00,67,67448,,,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
