id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
2609,"45.13409,5.70088",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70088,45.13409],[5.69774,45.12479]]}",45.13409,5.70088,38
2610,"45.18461,5.71754",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71754,45.18461],[5.71766,45.18454],[5.71776,45.18452],[5.71798,45.1845],[5.718,45.18449],[5.71802,45.18447],[5.71801,45.18443],[5.71798,45.18434],[5.71781,45.18386]]}",45.18461,5.71754,38
2611,"45.12405,5.69756",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.69756,45.12405],[5.69774,45.12479]]}",45.12405,5.69756,38
2605,"45.15896,5.71345",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71345,45.15896],[5.71352,45.15931],[5.71365,45.15956],[5.71371,45.15966],[5.7138,45.15978]]}",45.15896,5.71345,38
2607,"45.15436,5.71219",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71219,45.15436],[5.71228,45.15473],[5.71232,45.15484],[5.71238,45.15508],[5.71248,45.15542],[5.71255,45.15566],[5.71269,45.15617],[5.71287,45.1568],[5.71298,45.15725],[5.71306,45.15753],[5.71313,45.1578],[5.71318,45.15798],[5.71326,45.15831],[5.71336,45.15865],[5.71345,45.15896]]}",45.15436,5.71219,38
2068,"45.2085,5.77426",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.77426,45.2085],[5.77451,45.20865],[5.77487,45.20885],[5.77522,45.20895],[5.77545,45.20901]]}",45.2085,5.77426,38
2232,"45.20761,5.76798",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.76798,45.20761],[5.76817,45.20749],[5.76819,45.20738],[5.7682,45.20734],[5.76833,45.20723],[5.76833,45.20723],[5.76833,45.20723],[5.76837,45.20718],[5.76848,45.20658],[5.76854,45.20626],[5.76864,45.20607],[5.76887,45.20587],[5.76937,45.20563],[5.76961,45.20559],[5.76993,45.20557],[5.77026,45.20559],[5.77034,45.20558],[5.77045,45.20558],[5.77101,45.20568],[5.77136,45.20573],[5.77177,45.20582],[5.77213,45.20591],[5.77232,45.20598],[5.77234,45.20603],[5.77324,45.20651]]}",45.20761,5.76798,38
2233,"45.2085,5.77426",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.77426,45.2085],[5.77397,45.20847]]}",45.2085,5.77426,38
2380,"45.18536,5.73157",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73157,45.18536],[5.73193,45.1853],[5.73208,45.18527],[5.73217,45.1852],[5.73281,45.18448],[5.73295,45.18429],[5.73324,45.1839],[5.73341,45.18369],[5.73356,45.18345],[5.73378,45.18302],[5.7343,45.18204]]}",45.18536,5.73157,38
2337,"45.18776,5.72354",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.72354,45.18776],[5.72335,45.18776],[5.72164,45.18785],[5.71978,45.18796],[5.71936,45.18798],[5.71884,45.18805]]}",45.18776,5.72354,38
2339,"45.18967,5.71563",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71563,45.18967],[5.71578,45.18918],[5.71577,45.18906],[5.71556,45.18885],[5.71564,45.18845],[5.716,45.18765],[5.7162,45.18746],[5.71687,45.1861],[5.71754,45.18461]]}",45.18967,5.71563,38
2512,"45.13409,5.70088",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70088,45.13409],[5.70224,45.13817]]}",45.13409,5.70088,38
2489,"45.12324,5.69828",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.69828,45.12324],[5.69756,45.12405]]}",45.12324,5.69828,38
2458,"45.21059,5.78111",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.78111,45.21059],[5.78007,45.20965]]}",45.21059,5.78111,38
2459,"45.212,5.78695",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.78695,45.212],[5.7868,45.21201],[5.7867,45.21207],[5.7866,45.21209],[5.78653,45.21207],[5.78626,45.21212],[5.78595,45.21214],[5.78563,45.21217],[5.78514,45.21219],[5.78478,45.21216],[5.78453,45.21212],[5.78234,45.21165],[5.78187,45.21157],[5.78159,45.21155],[5.78153,45.21154],[5.78153,45.21148],[5.7815,45.21134],[5.78144,45.21121],[5.78121,45.21094],[5.78125,45.21086],[5.78112,45.2106]]}",45.212,5.78695,38
2461,"45.21159,5.792",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.792,45.21159],[5.79168,45.21158],[5.79135,45.21162],[5.78964,45.2118],[5.78806,45.21192],[5.78695,45.212]]}",45.21159,5.792,38
